GLDesc,CategoryCode,CategoryDesc,SubcatCode,SubcatDesc,Asin,UPC,ItemDesc
gl_pc,14700200,0200 Laptops,14700210,0210 Tablets - DELETED,B09DKJQ3X1,889842796940,"Microsoft Surface Pro 8-13"" Touchscreen - Intel® Evo Platform Core™ i7-32GB Memory - 1TB SSD - Device Only - Platinum (Latest Model)"
gl_pc,14700300,0300 Computer Components,14700315,0315 Graphics Cards,B08J6GMWCQ,192876928622,"ASUS ROG STRIX NVIDIA GeForce RTX 3090 Gaming Graphics Card- PCIe 4.0, 24GB GDDR6X, HDMI 2.1, DisplayPort 1.4a, Axial-Tech Fan Design, 2.9-Slot"
gl_pc,14701100,1100 Tablets,14701101,1101 Tablets,B0932N9TRD,194252192573,2021 Apple 12.9-inch iPad Pro Wi‑Fi + Cellular 1TB - Space Gray
gl_wireless,10700400,0400 Wireless Unlocked Phones,10700410,0410 Unlocked Phones,B097CMLP2H,887276552651,"SAMSUNG Galaxy Z Fold 3 5G Cell Phone, Factory Unlocked 2-in-1 Android Smartphone Tablet, 512GB, 120Hz, Foldable Dual Screen, Under Display Camera, US Version, Phantom Black"
gl_pc,14700500,0500 Monitors,14700510,0510 LCD Monitors,B096YNP6ZR,887276549101,"SAMSUNG 49"" Odyssey Neo G9 G95NA Gaming Monitor, 4K UHD Mini LED Display, Curved Screen, 240Hz, 1ms, G-Sync and FreeSync Premium Pro, LS49AG952NNXZA, White & Black"
gl_pc,14700300,0300 Computer Components,14700315,0315 Graphics Cards,B09XBJM7F6,843368075705,"EVGA GeForce RTX 3090 Ti FTW3 Gaming, 24G-P5-4983-KR, 24GB GDDR6X, iCX3, ARGB LED, Backplate, Free eLeash"
gl_pc,14700300,0300 Computer Components,14700315,0315 Graphics Cards,B09622N253,843368071318,"EVGA GeForce RTX 3080 Ti FTW3 Ultra Gaming, 12G-P5-3967-KR, 12GB GDDR6X, iCX3 Technology, ARGB LED, Metal Backplate"
gl_pc,14700300,0300 Computer Components,14700315,0315 Graphics Cards,B09QDWGNPG,889523031360,"GIGABYTE GeForce RTX 3080 Gaming OC 12G Graphics Card, 3X WINDFORCE Fans, 12GB 384-bit GDDR6X, GV-N3080GAMING OC-12GD Video Card"
gl_wireless,10700400,0400 Wireless Unlocked Phones,10700410,0410 Unlocked Phones,B08P54F6HB,887276527116,"SAMSUNG Galaxy S21 Ultra 5G Factory Unlocked Android Cell Phone 256GB US Version Smartphone Pro-Grade Camera 8K Video 108MP High Res, Phantom Black"
gl_pc,14700300,0300 Computer Components,14700315,0315 Graphics Cards,B08J5F3G18,843368067137,"EVGA GeForce RTX 3090 FTW3 Ultra Gaming, 24GB GDDR6X, iCX3 Technology, ARGB LED, Metal Backplate, 24G-P5-3987-KR"
gl_pc,14700200,0200 Laptops,14700201,0201 Laptops,B09F2XGS47,195553387125,"ASUS ZenBook Flip S13 OLED Ultra Slim Laptop, 13.3 4K Touch, Intel Evo Platform Core i7-1165G7 CPU, 16GB RAM, 1TB SSD, Thunderbolt4, TPM, Windows10Pro, AI noise-cancellation, Jade Black, UX371EA-XB76T"
gl_wireless,10700400,0400 Wireless Unlocked Phones,10700410,0410 Unlocked Phones,B08N2MSSZY,887276473345,"SAMSUNG Galaxy S21 Ultra 5G Factory Unlocked Android Cell Phone 128GB US Version Smartphone Pro-Grade Camera 8K Video 108MP High Res, Phantom Black"
gl_wireless,10700400,0400 Wireless Unlocked Phones,10700410,0410 Unlocked Phones,B08VL1Q7Z1,649661735779,"Samsung Electronics Samsung Galaxy S21 Ultra 5G | Factory Unlocked Android Cell Phone | US Version 5G Smartphone | Pro-Grade Camera, 108MP High Res | 128GB, Black (SM-G998UZKAXAA) (Renewed)"
gl_pc,14700100,0100 Desktop,14700115,0115 All-in-One,B09W4BVSLP,196337711211,"HP Pavilion 32 All-in-One Desktop PC, 12th Gen Intel Core i7-12700T, 16 GB RAM, 1 TB SSD, Quad HD IPS Display, Windows 11 Home, 4K Graphics, Wireless Mouse and Keyboard, Slim Design (32-b0050, 2022)"
gl_pc,,,14700201,0201 Laptops,B07X2LNCYY,192563788560,"Lenovo ThinkPad X1 Yoga 5th Gen 14"" WQHD (2560x1440) Touchscreen 2 in 1 Ultrabook - Intel Core i7-10510U Processor, 16GB RAM, 512GB PCIe-NVMe SSD, Windows 10 Pro 64-bit"
gl_pc,14701100,1100 Tablets,14701101,1101 Tablets,B07YNJ6RBM,889842477016,"Microsoft Surface Pro 7 – 12.3"" Touch-Screen - Intel Core i5 - 8GB Memory - 256GB SSD Platinum"
gl_pc,14700300,0300 Computer Components,14700315,0315 Graphics Cards,B09WPJQN3C,195553655880,"ASUS ROG Strix LC NVIDIA GeForce RTX 3090 Ti OC Edition Gaming Graphics Card (PCIe 4.0, 24GB GDDR6X, HDMI 2.1, DisplayPort 1.4a, Full-Coverage Cold Plate, 240mm Radiator, 600mm tubing, GPU Tweak)"
gl_pc,14700500,0500 Monitors,14700510,0510 LCD Monitors,B07SKS6CS7,,"SOL Computer Dasung E-Ink Paperlike 3 HD Front-Light Touch 13.3"" Monitor"
gl_pc,14700200,0200 Laptops,14700209,0209 Gaming Laptops,B086MHR7D9,811659036605,"Razer Blade Stealth 13 Ultrabook Gaming Laptop: Intel Quad Core i7-1065G7, NVIDIA GeForce GTX 1650 Ti Max-Q, 13.3"" 4K Touch, 16GB RAM, 512GB SSD, CNC Aluminum, Chroma RGB, Thunderbolt 3, Creator Ready"
gl_pc,14700200,0200 Laptops,14700201,0201 Laptops,B08YX17KJN,889842737493,Microsoft Surface Laptop 4 13.5” Touch-Screen – Intel Core i7 - 16GB - 512GB Solid State Drive - Platinum
gl_pc,14700300,0300 Computer Components,14700315,0315 Graphics Cards,B09WPC2TDY,195553655927,"ASUS TUF Gaming NVIDIA GeForce RTX 3090 Ti OC Edition Graphics Card (PCIe 4.0, 24GB GDDR6X, HDMI 2.1, DisplayPort 1.4a, Dual Ball Fan Bearings, Military-Grade Certification, GPU Tweak)"
gl_pc,14700300,0300 Computer Components,14700315,0315 Graphics Cards,B0B27VXCZ2,195553721226,"ASUS ROG Strix NVIDIA GeForce RTX 3090 EVA Edition Gaming Graphics Card (PCIe 4.0, 24GB GDDR6X, HDMI 2.1, DisplayPort 1.4a, Axial-tech Fan Design, 2.9-Slot, Super Alloy Power II, GPU Tweak)"
gl_wireless,10700400,0400 Wireless Unlocked Phones,10700410,0410 Unlocked Phones,B08N3LQBS9,887276515472,"SAMSUNG Galaxy S21+ Plus 5G Factory Unlocked Android Cell Phone 128GB US Version Smartphone Pro-Grade Camera 8K Video 12MP High Res, Phantom Silver"
gl_pc,14700200,0200 Laptops,14700201,0201 Laptops,B0B3CGXWN4,194253080886,"2022 Apple MacBook Air Laptop with M2 chip: 13.6-inch Liquid Retina Display, 8GB RAM, 512GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera. Works with iPhone and iPad; Space Gray"
gl_video_games,6315000,5000 VR Headsets,6315200,5200 PC,B09FPCT3H8,821793052614,HTC VIVE Pro 2 Virtual Reality System
gl_wireless,10700400,0400 Wireless Unlocked Phones,10700410,0410 Unlocked Phones,B09MW19JW2,887276610573,"SAMSUNG Galaxy S22 Ultra Cell Phone, Factory Unlocked Android smartphone, 256GB, 8K Camera & Video, Brightest Display Screen, S Pen, Long Battery Life, Fast 4nm Processor, US Version, Phantom Black"
gl_pc,14701100,1100 Tablets,14701101,1101 Tablets,B0932BB1BX,194252192535,2021 Apple 12.9-inch iPad Pro Wi‑Fi + Cellular 256GB - Space Gray
gl_pc,14700300,0300 Computer Components,14700315,0315 Graphics Cards,B08HJRF2CN,889523024485,"Gigabyte GeForce RTX 3090 GAMING OC 24G Graphics Card, 3x WINDFORCE Fans, 24GB 384-Bit GDDR6X, GV-N3090GAMING OC-24GD Video Card"
gl_camera,,,42101710,1710 Security_&_Surveillance,B07LB8W16F,653559943689,"Lorex 4KHDIP168Ni 16 Channel Security System w/ 4 8MP 4K LNB8921 Bullet Cameras, and 4 8MP 4K LNB8973 4X Zoom Bullet Cameras"
gl_pc,14700100,0100 Desktop,14700115,0115 All-in-One,B09D7M4M1G,884116392651,"Dell Inspiron 7700 27-inch All in One Desktop Computer - FHD (1920 x 1080) Display, Pop-Up Webcam, Intel Core i7-1165G7, 12GB DDR4 RAM, 1TB HDD, Intel Iris Xe Graphics, Windows 11 Pro - Black"
gl_pc,14700500,0500 Monitors,14700509,0509 Gaming Monitors,B072C7TNC5,887276229218,"SAMSUNG 49-Inch CHG90 144Hz Curved Gaming Monitor (LC49HG90DMNXZA) – Super Ultrawide Screen QLED Computer Monitor, 3840 x 1080p Resolution, 1ms Response, FreeSync 2 with HDR,Black"
gl_pc,14700500,0500 Monitors,14700510,0510 LCD Monitors,B07CS4KF7J,887276260167,"SAMSUNG CJ890 Series 49-Inch Ultrawide QHD (3840x1080) Computer Monitor, 144Hz, Curved, HDMI, USB-C, Height Adjustable Stand, 3 Yr WRNTY (LC49J890DKNXZA)"
gl_pc,14700500,0500 Monitors,14700510,0510 LCD Monitors,B0B356KYJ6,195174035122,"LG 48GQ900-B 48” Ultragear™ UHD OLED Gaming Monitor with Anti-Glare, 1.5M : 1 Contrast Ratio & DCI-P3 99% (Typ.) with HDR 10.1ms (GtG) 120Hz Refresh Rate, HDMI 2.1 with 4-Pole Headphone Out"
gl_pc,14701200,1200 Chromebooks,14701201,1201 Chromebooks,B09F8Y2HJW,195553215602,"ASUS Chromebook CX9, 14"" Touchscreen FHD NanoEdge Display, Intel Core i7-1165G7 Processor, 512GB SSD, 16GB RAM, USI Stylus Support, NumberPad, Chrome OS, Magnesium-Alloy, Star Black, CX9400CEA-DS762T"
gl_pc,14700200,0200 Laptops,14700210,0210 Tablets - DELETED,B09DJSF748,889842796193,"Microsoft Surface Pro 8-13"" Touchscreen - Intel® Evo Platform Core™ i7-16GB Memory - 256GB SSD - Device Only - Platinum (Latest Model)"
gl_pc,14700500,0500 Monitors,14700509,0509 Gaming Monitors,B0892MHG9H,719192641488,"LG 38WN95C-W Monitor 38"" 21:9 Curved UltraWide QHD+ (3840 x 1600) Nanio IPS Display, Thunderbolt 3, 1ms Response Time, 144Hz Refresh Rate, NVIDIA G-SYNC, AMD FreeSync -White/Silver"
gl_wireless,10700400,0400 Wireless Unlocked Phones,10700410,0410 Unlocked Phones,B09MW13RQH,887276610580,"SAMSUNG Galaxy S22 Ultra Cell Phone, Factory Unlocked Android Smartphone, 512GB, 8K Camera & Video, Brightest Display Screen, S Pen, Long Battery Life, Fast 4nm Processor, US Version, Phantom Black"
gl_pc,14701100,1100 Tablets,14701101,1101 Tablets,B0932CJZ22,194252195345,"2021 Apple 12.9-inch iPad Pro (Wi‑Fi, 256GB) - Space Gray"
gl_wireless,10700400,0400 Wireless Unlocked Phones,10700410,0410 Unlocked Phones,B08BX7XBGN,887276434766,"SAMSUNG Galaxy Note 20 Ultra 5G Cell Phone, Factory Unlocked Android Smartphone, 128GB, S Pen Included, Mobile Gaming, 6.9” Infinity-O Display Screen, Long Battery Life, US Version, Mystic Black"
gl_wireless,10700400,0400 Wireless Unlocked Phones,10700410,0410 Unlocked Phones,B09MVZLCLN,887276625652,"SAMSUNG Galaxy S22 Ultra Cell Phone, Factory Unlocked Android Smartphone, 128GB, 8K Camera & Video, Brightest Display Screen, S Pen, Long Battery Life, Fast 4nm Processor, US Version, Green"
gl_wireless,10700400,0400 Wireless Unlocked Phones,10700410,0410 Unlocked Phones,B09MW1HJ9T,887276599274,"SAMSUNG Galaxy S22 Ultra Cell Phone, Factory Unlocked Android Smartphone, 128GB, 8K Camera & Video, Brightest Display Screen, S Pen, Long Battery Life, Fast 4nm Processor, US Version, Phantom White"
gl_pc,14701100,1100 Tablets,14701101,1101 Tablets,B08FBPRY3N,887276442938,"SAMSUNG Galaxy Tab S7+ Plus 12.4” 128GB Android Tablet w/ S Pen Included, Edge-to-Edge Display, Expandable Storage, Fast Charging USB-C Port, ‎SM-T970NZKAXAR, Mystic Black"
gl_pc,14700300,0300 Computer Components,14700315,0315 Graphics Cards,B08V1ZWGVR,810012082358,"ZOTAC GAMING GeForce RTX™ 3080 Ti AMP Holo 12GB GDDR6X 384-bit 19 Gbps PCIE 4.0 Gaming Graphics Card, HoloBlack, IceStorm 2.0 Advanced Cooling, SPECTRA 2.0 RGB Lighting, ZT-A30810F"
gl_camera,42101400,1400 Handsfree,42101410,1410 Handsfree_Video_Cameras,B08Z3DYBMC,190021036574,"DJI Air 2S - Drone Quadcopter UAV with 3-Axis Gimbal Camera, 5.4K Video, 1-Inch CMOS Sensor, 4 Directions of Obstacle Sensing, 31-Min Flight Time, Max 7.5-Mile Video Transmission, MasterShots, Gray"
gl_wireless,10700100,0100 Wireless Phones,10700120,0120 Prepaid/Parent,B09V3HQPSD,194253118831,"Apple iPhone 13 Pro (128 GB, Alpine Green) [Locked] + Carrier Subscription"
gl_pc,14701100,1100 Tablets,14701101,1101 Tablets,B0932275HY,194252202012,"2021 Apple 11-inch iPad Pro (Wi-Fi + Cellular, 128GB) - Silver"
gl_pc,14700600,0600 Drives,14700606,0606 External Solid State Drives,B09BJWZJ3L,763649169377,"LaCie Rugged SSD 4TB Solid State Drive — USB-C USB 3.2 NVMe speeds up to 1050MB/s, IP67 Water Resistant, 3m Drop Resistant, Encryption, 5-Year Warranty with Data Recovery, 1 Mo Adobe CC (STHR4000800)"
gl_pc,14700200,0200 Laptops,14700201,0201 Laptops,B08N5M7S6K,194252049013,"2020 Apple MacBook Air Laptop: Apple M1 Chip, 13” Retina Display, 8GB RAM, 256GB SSD Storage, Backlit Keyboard, FaceTime HD Camera, Touch ID. Works with iPhone/iPad; Gold"
gl_pc,14700300,0300 Computer Components,14700391,0391 Processors,B07ZTYKLZW,730143311809,"AMD Ryzen 9 3950X 16-Core, 32-Thread Unlocked Desktop Processor"
gl_pc,14700300,0300 Computer Components,14700392,0392 Motherboards,B07ZK7JTLL,192876478141,"ASUS ROG Rampage VI Extreme Encore, X299 LGA 2066 E-ATX Gaming Motherboard for Intel® Core™ X-Series Processors with Aura Sync RGB Lighting"
gl_pc,14700900,0900 Networking,14700904,0904 Networking Other,B08YMTL738,885022020928,QNAP TS-673A-8G 6 Bay High-Performance NAS with 2 x 2.5GbE Ports and Two PCIe Gen3 Slots
gl_wireless,10700400,0400 Wireless Unlocked Phones,10700410,0410 Unlocked Phones,B08BX7LJ5T,887276441375,"Samsung Galaxy Note 20 5G Factory Unlocked Android Cell Phone, US Version, 128GB of Storage, Mobile Gaming Smartphone, Long-Lasting Battery, Mystic Gray"
gl_wireless,10700100,0100 Wireless Phones,10700160,0160 Smart Phone,B07ZQT1L6B,713699869376,"Apple iPhone 11 Pro, US Version, 512GB, Midnight Green - Unlocked (Renewed)"
gl_pc,14700200,0200 Laptops,14700201,0201 Laptops,B09FX1YF28,196188425886,"HP Pavilion 15 Laptop, 11th Gen Intel Core i7-1165G7 Processor, 16 GB RAM, 512 GB SSD Storage, Full HD IPS micro-edge Display, Windows 11 Pro, Compact Design, Long Battery Life (15-eg0025nr, 2021)"
gl_wireless,10700400,0400 Wireless Unlocked Phones,10700410,0410 Unlocked Phones,B09MVYRBF6,887276611853,"SAMSUNG Galaxy S22 Cell Phone, Factory Unlocked Android Smartphone, 256GB, 8K Camera & Video, Brightest Display Screen, Long Battery Life, Fast 4nm Processor, US Version, Phantom Black"
